0,70;0,98;0,98;0,78;0,02
0,43;0,04;0,63;0,50;0,50
0,32;0,88;0,70;0,71;0,75
0,08;0,78;0,08;0,96;0,78
0,59;0,87;0,50;0,78;0,67
0,83;0,30;0,46;0,36;0,02
0,54;0,44;0,86;0,99;0,30
0,15;0,34;0,00;0,63;0,81
0,09;0,73;0,24;0,60;0,02
0,26;0,80;0,81;0,60;0,19
0,03;0,01;0,20;0,54;0,76
0,83;0,49;0,19;0,11;0,19
0,12;0,58;0,26;0,49;0,96
0,88;0,02;0,71;0,40;0,61
0,75;0,78;0,45;0,15;0,68
0,86;0,63;0,89;0,76;0,41
0,03;0,49;0,86;0,17;0,99
0,53;0,24;0,33;0,23;0,47
0,66;0,14;0,89;0,45;0,68
0,51;0,46;0,75;0,64;0,15
0,24;0,09;0,41;0,99;0,44
0,25;0,56;0,05;0,85;0,90
0,21;0,60;0,43;0,70;0,16
0,63;0,72;0,09;0,50;0,43
0,63;0,69;0,48;0,94;0,95
