0,67;0,05;0,59;0,50;0,10
0,76;0,57;0,50;0,17;0,85
0,12;0,31;0,49;0,70;0,14
0,66;0,51;0,27;0,57;0,81
0,19;0,63;0,47;0,20;0,98
0,78;0,03;0,44;0,83;0,21
0,75;0,02;0,09;0,55;0,93
0,71;0,26;0,82;0,16;0,25
0,75;0,15;0,80;0,24;0,84
0,32;0,64;0,76;0,39;0,16
0,97;0,55;0,95;0,15;0,65
0,04;0,58;0,39;0,52;0,32
0,74;0,13;0,67;0,96;0,11
0,10;0,21;0,93;0,77;0,44
0,41;0,68;0,11;0,32;0,05
0,04;0,83;0,23;0,36;0,66
0,14;0,26;0,05;0,66;0,23
0,20;0,07;0,94;0,90;0,89
0,13;0,87;0,30;0,84;0,51
0,62;0,47;0,84;0,13;0,74
0,10;0,71;0,99;0,95;0,76
0,29;0,43;0,63;0,10;0,61
0,21;0,35;0,03;0,86;0,18
0,48;0,08;0,01;0,73;0,91
0,03;0,27;0,03;0,88;0,31
0,54;0,38;0,28;0,80;0,43
0,57;0,99;0,10;0,62;0,56
0,43;0,27;0,10;0,91;0,94
0,76;0,44;0,84;0,29;0,67
0,78;0,84;0,44;0,66;0,04
0,55;0,46;0,11;0,22;0,71
0,83;0,68;0,11;0,64;0,22
0,91;0,16;0,83;0,67;0,04
0,22;0,25;0,41;0,31;0,75
0,20;0,98;0,10;0,79;0,15
